character,wubi,pinyin
偌,wad wadk,ruò
偎,wlge,wēi
偏,wyna,piān
偕,wxxr,xié jiē
做,wdt wdty,zuò
停,wyp,tíng
健,wvf wvfp,jiàn
偶,wjm wjmy,ǒu
偷,wwgj,tōu
偿,wi wip wipc,cháng
傅,wge wgef,fù fū
傍,wup wupy,bàng páng
储,wyf,chǔ chú
傩,wcwy,nuó
催,wmw wmwy,cuī
傲,wgqt,ào
傻,wtlt,shǎ
像,wqj wqje,xiàng
僚,wdu wdui,liáo
僧,wul wulj,sēng
僵,wgl,jiāng
僻,wnk wnku,pì
儒,wfd wfdj,rú
儿,qt qtn,ér
兀,gqv,wù
允,cq cqb,yǔn
元,fqb,yuán
兄,kqb,xiōng
充,yc ycq ycqb,chōng
兆,iqv,zhào
先,tfq,xiān
光,iq iqb,guāng
克,dq dqb,kè
免,qkq qkqb,miǎn
兑,ukqb,duì ruì yuè
兔,qkqy,tù
党,ipk ipkq,dǎng zhǎng
兜,qrnq,dōu
兢,dqd dqdq,jīng
入,ty tyi,rù
全,wg wgf,quán
八,wty,bā
公,wc wcu,gōng
六,uy uygy,liù lù
兮,wgnb,xī
兰,uff,lán
共,aw awu,gòng gōng
关,ud udu,guān
兴,iw iwu,xīng xìng
兵,rgw rgwu,bīng
其,adw adwu,qí jī
具,hw hwu,jù
典,maw mawu,diǎn
兹,uxx uxxu,zī cí cī
养,udyj,yǎng yàng
兼,uvo uvou,jiān
兽,ulg ulgk,shòu
冀,uxl uxlw,jì
内,mw mwi,nèi nà
冈,mqi,gāng
冉,mfd,rǎn
册,mm,cè
再,gmf gmfd,zài
冒,jhf,mào mò
冕,jqkq,miǎn
冗,pmb,rǒng
写,pgn,xiě xiè
军,pl plj,jūn
农,pei,nóng
冠,pfqf,guān guàn
冢,pey,zhǒng
冤,pqk pqky,yuān
冥,pju,míng
冬,tuu,dōng
冯,uc ucg,féng píng
冰,ui uiy,bīng níng
冲,ukh ukhh,chōng
决,un unw,jué
况,ukq ukqn,kuàng
冶,uck uckg,yě
冷,uwyc,lěng
冻,uai uaiy,dòng
冽,ugq ugqj,liè
净,uqv uqvh,jìng chēng
凄,ugvv,qī
准,uwy uwyg,zhǔn
凉,uyiy,liáng liàng
凋,umf umfk,diāo
凌,ufw ufwt,líng
减,udg udgt,jiǎn
凑,udw udwd,còu
凛,uyl uyli,lǐn
凝,uxt uxth,níng
几,mt mtn,jī jǐ
凡,my myi,fán
凤,mc mci,fèng
凭,wtfm,píng
凯,mnm mnmn,kǎi
凰,mrg mrgd,huáng
凳,wgkm,dèng
凶,qb qbk,xiōng
凸,hgm hgmg,tū
凹,mmgd,āo wā
出,bm bmk,chū
击,fmk,jī jí jì xí
函,bib bibk,hán
凿,ogu ogub,záo zào zú zuò
刀,vn vnt,dāo
刁,ngd,diāo
刃,vyi,rèn
分,wv wvb,fēn fèn
切,av avn,qiē qiè qì
刊,fjh,kān
刍,qvf,chú
刑,gajh,xíng
划,aj ajh,huá huà
列,gq gqj gqjh,liè
刘,yj yjh,liú
则,mj mjh,zé
刚,mqj,gāng
创,wbj wbjh,chuàng chuāng
初,puv puvn,chū
删,mmgj,shān
判,udjh,pàn
刨,qnjh,páo bào
利,tjh,lì
别,klj kljh,bié biè
刮,tdjh,guā
到,gc gcfj,dào
制,rmhj,zhì
刷,nmh nmhj,shuā shuà
券,udv udvb,quàn xuàn
刹,qsj,chà shā
刺,gmi gmij,cì cī qì
刻,ynt yntj,kè
剁,msj msjh,duò
剂,yjjh,jì
剃,uxhj,tì
削,iej iejh,xiāo xuē
剌,gkij,là lá
前,ue uej uejj,qián
剑,wgi wgij,jiàn
剔,jqrj,tī
剖,ukj ukjh,pōu
剥,vijh,bāo bō
剧,ndj ndjh,jù
剩,tuxj,shèng
剪,uejv,jiǎn
副,gkl gklj,fù pì
割,pdhj,gē
剿,vjsj,jiǎo chāo
劈,nkuv,pī pǐ
力,lt ltn,lì
劝,cl cln,quàn
办,lw,bàn
功,al aln,gōng
加,lk lkg,jiā
务,tl tlb,wù
劣,itl itlb,liè
动,fcl,dòng
助,egl egln,zhù chú
努,vcl vclb,nǔ
劫,fcln,jié
励,ddnl,lì
劲,cal caln,jìn jìng
劳,apl aplb,láo lào
势,rvyl,shì
勃,fpb fpbl,bó bèi
勇,cel celb,yǒng
勉,qkql,miǎn
勋,kml kmln,xūn
勒,afl afln,lè lēi
勘,adwl,kān kàn
募,ajd ajdl,mù
勤,akgl,qín
勺,qyi,sháo zhuó
勾,qci,gōu gòu
勿,qre,wù
匀,qu qud,yún
包,qn qnv,bāo
匆,qry qryi,cōng
匈,qqb qqbk,xiōng
匍,qgey,pú
匐,qgk qgkl,fú
匕,xtn,bǐ
化,wx wxn,huà huā
北,ux uxn,běi bèi
匙,jghx,chí shi
匝,amh,zā
匠,ar ark,jiàng
匡,agd,kuāng
匣,alk,xiá
匪,adjd,fěi fēi
匮,akh akhm,kuì guì
匹,aqv,pǐ
区,aq aqi,qū ōu
医,atd atdi,yī
匾,ayna,biǎn
匿,aadk,nì
十,fgh,shí
千,tfk,qiān
卅,gkk,sà
升,tak,shēng
午,tfj,wǔ
卉,faj,huì
半,uf,bàn
华,wxf wxfj,huá huà huā
协,fl flw flwy,xié
卑,rtfj,bēi
卒,ywwf,zú cù
卓,hjj,zhuó zhuō
单,ujfj,dān shàn chán
卖,fnud,mài
南,fm fmu fmuf,nán nā
博,fge fgef,bó
卜,hhy,bǔ bo bó
占,hk hkf,zhān zhàn
卡,hhu,qiǎ kǎ
卢,hn hne,lú léi lǘ
卤,hl hlq hlqi,lǔ
卦,ffhy,guà
卧,ahnh,wò
卫,bg bgd,wèi
卯,qtbh,mǎo
印,qgb qgbh,yìn
危,qdb qdbb,wēi wéi
即,vcb,jí
却,fcb fcbh,què
卵,qyt qyty,luǎn
卷,udbb,juàn juǎn quán
卸,rhb rhbh,xiè
卿,qtvb,qīng
厂,dgt,chǎng ān hàn
厄,dbv,è
厅,ds dsk,tīng
历,dl dlv,lì
厉,ddn ddnv,lì
压,dfy dfyi,yā yà
厌,ddi,yàn yā yān
厕,dmjk,cè
厘,djfd,lí xǐ xī
厚,djb djbd,hòu
原,dr dri,yuán yuàn
厢,dsh dshd,xiāng
厥,dubw,jué
厦,ddh,shà xià
厨,dgkf,chú
厮,dadr,sī
去,fcu,qù
县,egc egcu,xiàn xuán
叁,cdd cddf,sān
参,cd cde cder,cān shēn cēn sān dēn
又,ccc cccc,yòu
叉,cyi,chā chá chǎ cha chà chāi
及,ey eyi,jí
友,dc dcu,yǒu
双,cc,shuāng
反,rc rci,fǎn fān
发,ntc ntcy v,fà fǎ
叔,hic hicy,shū
取,bc bcy,qǔ qū
受,epc epcu,shòu
变,yo yoc yocu,biàn
叙,wtc wtcy,xù
叛,udrc,pàn
叟,vhc vhcu,sǒu
叠,cccg,dié
口,kkkk,kǒu
古,dgh dghg,gǔ
句,qkd,jù gōu
另,kl klb,lìng
叨,kvn,tāo dāo
叩,kbh,kòu
只,kw kwu,zhī zhǐ
叫,kn knh knhh,jiào
召,vkf,zhào shào
叭,kwy,bā ba
叮,ksh,dīng
可,sk skd,kě kè
台,ck ckf,tái tāi yí
史,kq kqi,shǐ
右,dk dkf,yòu
叶,kf kfh,yè xié shè
号,kgn kgnb,hào háo
司,ngk ngkd,sī
叹,kcy,tàn
叼,kng kngg,diāo
叽,kmn,jī
吁,kgfh,xū yù
吃,ktn,chī jī
各,tk tkf,gè gě
吆,kxy,yāo
合,wgk wgkf,hé gě
吉,fk fkf,jí
吊,kmh kmhj,diào
同,m mg mgk mgkd,tóng tòng dòng
名,qk qkf,míng
后,rg rgk rgkd,hòu
吏,gkq gkqi,lì
吐,kfg,tǔ tù
向,tm tmk tmkd,xiàng shǎng
吓,kgh kghy,hè xià
吕,kk kkf,lǚ
吗,kcg,má mǎ ma
君,vtkd,jūn
吝,ykf,lìn
吞,gdk,tūn
吟,kwyn,yín
吠,kdy,fèi
否,gik gikf,fǒu pǐ
吧,kc kcn,bā ba
吨,kgb kgbn,dūn
吩,kwv kwvn,fēn
含,wynk,hán
听,kr krh,tīng tìng
吭,kym kymn,háng kēng
吮,kcq kcqn,shǔn
启,ynk ynkd,qǐ
吱,kfc kfcy,zhī zī
吴,kgd,wú
吵,ki kit kitt,chǎo chāo
吸,ke key,xī
吹,kqw kqwy,chuī chuì
吻,kqr kqrt,wěn
吼,kbn kbnn,hǒu
吾,gkf,wú yù
呀,ka kah kaht,yā ya
呃,kdb kdbn,è
呆,ks ksu,dāi
呈,kg kgf,chéng
告,tfkf,gào
呐,kmw kmwy,nà nè ne
呕,kaqy,ǒu ōu òu ou xū
呗,kmy,bei bài
员,km kmu,yuán yún yùn
呙,kmwu,wāi hé wǒ wā guǎ guō
呛,kwb kwbn,qiāng qiàng
呜,kqng,wū
呢,knx knxn,ní ne
呦,kxl kxln,yōu
周,mfk mfkd,zhōu
呱,krc krcy,guā gū guǎ
味,kfi kfiy,wèi
呵,ksk kskg,hē a kē
呻,kjh kjhh,shēn
呼,kt ktu ktuh,hū xū
命,wgkb,mìng
咀,keg kegg,jǔ zuǐ zǔ
咂,kam kamh,zā
咄,kbm kbmh,duō
咆,kqn,páo
咋,kthf,zǎ zé zhā zhà
和,t tkg,hé hè huó huò hú
咎,thk thkf,jiù gāo
咏,kyn kyni,yǒng
咐,kwf kwfy,fù
咒,kkm kkmb,zhòu
咕,kdg,gū
咖,klk klkg,kā gā
咙,kdx kdxn,lóng
咚,ktuy,dōng
咛,kps kpsh,níng
咦,kgx kgxw,yí
咧,kgq,liě liē lié lie
咨,uqwk,zī
咪,koy,mī
咬,kuq kuqy,yǎo jiāo
咯,ktk,kǎ luò lo gē
咱,kth kthg,zán zá zǎ
咳,kynw,ké hāi hái kài
咸,dgk dgkt,xián
咽,kld kldy,yān yàn yè
哀,yeu,āi
品,kkk,pǐn
哄,kaw kawy,hōng hǒng hòng
哆,kqq kqqy,duō chǐ
哇,kff kffg,wā wa
哈,kwg kwgk,hā hǎ hà
哉,fak fakd,zāi
响,ktm ktmk,xiǎng
哎,kaq,āi
哑,kgo kgog,yǎ yā è
哗,kwx kwxf,huá huā
哝,kpe kpey,nóng
哟,kx kxq kxqy,yō yo
哥,sks sksk,gē
哦,ktr ktrt,ó ò é
哧,kfo kfoy,chī
哨,kie kieg,shào
哩,kjf kjfg,li lǐ lī
哪,kv kvf kvfb,nǎ něi na né
哭,kkdu,kū
哮,kft,xiào xiāo
哲,rrk rrkf,zhé
哺,kge kgey,bǔ
哼,kyb kybh,hēng hng
哽,kgj kgjq,gěng
唁,kyg,yàn
唆,kcw kcwt,suō
唇,dfek,chún
唉,kct kctd,āi ài
唏,kqd kqdh,xī
唐,yvh yvhk,táng
唔,kgkg,wù wú ńg ń
唠,kap kapl,lào láo
唢,kim kimy,suǒ
唤,kqm kqmd,huàn
唧,kvcb,jī
唬,kham,hǔ xià
售,wyk wykf,shòu
唯,kwyg,wéi wěi
唱,kjj kjjg,chàng
唷,kyc kyce,yō
唾,ktg,tuò
啃,khe kheg,kěn
啄,keyy,zhuó zhòu
商,um umw umwk,shāng
啊,kb kbs kbsk,ā á ǎ à a
啡,kdj kdjd,fēi pēi
啤,krt krtf,pí
啥,kwfk,shá shà
啦,kru krug,lā la
啧,kgm kgmy,zé
啪,krr krrg,pā
啬,fulk,sè
啸,kvi kvij,xiào
啼,ku kup kuph,tí
喀,kpt kptk,kā ke kè
喂,klge,wèi
喃,kfm kfmf,nán
善,uduk,shàn
喇,kgk kgkj,lǎ
喉,kwn kwnd,hóu
喊,kdgt,hǎn
喋,kans,dié zhá
喏,kadk,nuò rě
喔,kngf,ō wō
喘,kmd kmdj,chuǎn
喜,fku,xǐ
喝,kjq kjqn,hē hè yè
喧,kp kpg kpgg,xuān xuǎn
喳,ksj ksjg,zhā chā
喵,kal,miāo
喷,kfa kfam,pēn pèn
喻,kwgj,yù yú
喽,kov kovg,lóu lou
嗅,kthd,xiù
嗑,kfcl,kē kè hé
嗒,kawk,tà dā
嗓,kcc kccs,sǎng
嗔,kfhw,chēn tián
嗜,kftj,shì
嗡,kwc kwcn,wēng
嗣,kma kmak,sì
嗤,kbhj,chī
嗦,kfpi,suō
嗨,kitu,hāi hēi hǎi
嗯,kldn,ǹg ńg ňg ǹ ń ň éng ěng èng
嗷,kgqt,áo
嗽,kgkw,sòu
嘀,kum kumd,dí
嘈,kgmj,cáo
嘉,fkuk,jiā
嘎,kdh kdha,gā gá gǎ
嘘,khag,xū shī
嘛,ky kys kyss,má ma
嘟,kftb,dū
嘱,knt knty,zhǔ
嘲,kfj kfje,cháo zhāo
嘴,khx,zuǐ
嘶,kad kadr,sī xī
嘹,kdui,liáo liào
嘻,kfk kfkk,xī
嘿,klf klfo,hēi mò
噜,kqg kqgj,lū lǔ
噢,ktmd,ō yǔ
器,kkd kkdk,qì
噩,gkkk,è
噪,kkks,zào
嚎,kyp kype,háo
嚣,kkdk,xiāo
嚷,kyk kyke,rǎng rāng
嚼,kel kelf,jiáo jué jiào
囊,gkh gkhe,náng nāng
囔,kgke,nāng
囚,lwi,qiú
四,lh lhng,sì
回,lkd,huí
囟,tlqi,xìn
因,ld ldi,yīn
团,lft lfte,tuán
囤,lgb lgbn,dùn tún
园,lfq lfqv,yuán
困,ls lsi,kùn
囱,tlqi,cōng chuāng
围,lfnh,wéi
固,ldd,gù
国,l lgy lgyi,guó
图,ltu ltui,tú
圃,lgey,pǔ
圆,lkmi,yuán
圈,lud ludb,quān juàn juān
土,ffff,tǔ
圣,cff,shèng
在,d dhf dhfd,zài
圭,fff,guī
地,f fb fbn,dì de
圳,fkh,zhèn
场,fnrt,cháng chǎng
圾,fe fey feyy,jī jí
址,fhg,zhǐ
坂,frc,bǎn
均,fqu,jūn yùn
坊,fyn,fāng fáng
坎,fqw fqwy,kǎn
坏,fgi,huài
坐,wwf,zuò
坑,fym fymn,kēng
块,fnw,kuài
坚,jcf jcff,jiān
坛,ffc ffcy,tán
坜,fdl fdln,lì
坝,fmy,bà
坞,fqng,wù
坟,fy fyy,fén
坠,bwff,zhuì
坡,fhc fhcy,pō
坤,fjhh,kūn
坦,fjg fjgg,tǎn
坪,fgu fguh,píng
坯,fgig,pī
坷,fsk fskg,kē kě
垂,tga tgaf,chuí
垃,fug,lā la
垄,dxf dxff,lǒng
型,gajf,xíng
垒,cccf,lěi léi lǜ
垛,fms fmsy,duǒ duò
垢,fr frg frgk,gòu
垣,fgjg,yuán
垦,vef veff,kěn
垫,rvyf,diàn
垮,fdfn,kuǎ
垸,fpf fpfq,yuàn huán huàn
埂,fgj fgjq,gěng
埃,fct,āi
埋,fjf fjfg,mái mán
城,fd fdn fdnt,chéng
埔,fgey,pǔ bù
域,fakg,yù
埠,fwn fwnf,bù
培,fuk fukg,péi pǒu
基,ad,jī
堂,ipkf,táng
堆,fwy fwyg,duī
堇,akgf,jǐn
堕,bdef,duò huī
堡,wksf,bǎo bǔ pù
堤,fjgh,dī tí
堪,fad,kān
堰,fajv,yàn
堵,fft fftj,dǔ
塌,fjn fjng,tā
塑,ubtf,sù
塔,fawk,tǎ
塘,fyv fyvk,táng
塞,pfjf,sāi sài sè
填,ffh ffhw,tián zhèn
境,fuj fujq,jìng
墅,jfcf,shù
墓,ajdf,mù
墙,ffuk,qiáng
增,fu ful fulj,zēng
墟,fhag,xū
墨,lfof,mò
墩,fyb fybt,dūn
壁,nkuf,bì
壑,hpg hpgf,hè
壤,fyk fyke,rǎng
士,fghg,shì
壬,tfd,rén
壮,ufg,zhuàng
声,fnr,shēng
壳,fpm fpmb,ké qiào
壶,fpo fpog,hú
壹,fpg fpgu,yī yì
处,th thi,chǔ chù
备,tlf,bèi
复,tjt,fù
夏,dht,xià jiǎ
夕,qtny,xī xì
外,qh,wài
多,qq,duō
夜,ywt,yè
够,qkqq,gòu
大,dd,dà dài tài
天,gd gdi,tiān
太,dy,tài
夫,fw fwi,fū fú
夭,tdi,yāo wāi wò yǎo
央,md mdi,yāng
夯,dlb,hāng bèn
失,rw rwi,shī
头,udi,tóu tou
夷,gxw gxwi,yí
夸,dfn dfnb,kuā kuà
夹,guw guwi,jiā jiá gā
夺,df dfu,duó
奂,qmd qmdu,huàn
奄,djn djnb,yǎn yān
奇,dskf,qí jī
奈,dfi dfiu,nài
奉,dwf dwfh,fèng
奋,dlf,fèn
奎,dfff,kuí
奏,dwg,zòu
契,dhv dhvd,qì qiè xiè
奔,dfa dfaj,bēn bèn
奕,yod yodu,yì
奖,uqd uqdu,jiǎng
套,ddu,tào
奚,exd exdu,xī xí
奠,usgd,diàn
奢,dft,shē
奥,tmo tmod,ào yù
女,vvv,nǚ rǔ
奴,vcy,nú
奶,ve ven,nǎi
奸,vfh,jiān
她,vbn,tā jiě
好,vb vbg,hǎo hào
如,vk vkg,rú
妃,vnn,fēi pèi
妄,ynvf,wàng
妆,uv uvg,zhuāng
妇,vv vvg,fù
妈,vc vcg,mā
妒,vynt,dù
妓,vfc vfcy,jì
妖,vtd vtdy,yāo
妙,vit vitt,miào
妞,vnf vnfg,niū
妥,ev evf,tuǒ
妨,vy vyn,fáng fāng
妮,vnx vnxn,nī ní
妹,vfi vfiy,mèi
妻,gv gvh gvhv,qī qì
妾,uvf,qiè
姆,vx vxg vxgu,mǔ
姊,vtnt,zǐ
始,vck vckg,shǐ
姐,veg vegg,jiě
姑,vd vdg,gū
姓,vtg vtgg,xìng
委,tv tvf,wěi wēi
姚,viq viqn,yáo
姜,ugv ugvf,jiāng
姥,vft vftx,mǔ lǎo
姨,vg vgx vgxw,yí
姬,vah vahh,jī
姻,vld vldy,yīn
姿,uqwv,zī
威,dgv dgvt,wēi
娃,vff vffg,wá
娄,ov ovf,lóu
娅,vgo vgog,yà yā yǎ
娇,vtdj,jiāo
娓,vntn,wěi
娘,vyv vyve,niáng
娜,vvf vvfb,nà nuó
娟,vke vkeg,juān
娥,vtr vtrt,é
娱,vkgd,yú
娲,vkm vkmw,wā
娴,vus vusy,xián
娶,bcv bcvf,qǔ
娼,vjj vjjg,chāng
婆,ihcv,pó
婉,vpq vpqb,wǎn
婊,vgey,biǎo
婚,vq vqa vqaj,hūn
婢,vrt vrtf,bì
婪,ssv ssvf,lán
婴,mmv mmvf,yīng
婶,vpj vpjh,shěn
婷,vyp vyps,tíng
婿,vnhe,xù
媒,vaf vafs,méi
媚,vnh vnhg,mèi
媛,vefc,yuàn yuán
媳,vthn,xí
嫁,vpe vpey,jià
嫂,vvh vvhc,sǎo
嫉,vut vutd,jí
嫌,vu vuv vuvo,xián
嫖,vsf vsfi,piáo piāo biāo piào
嫣,vgh vgho,yān
嫩,vgk vgkt,nèn nùn
嬉,vfk vfkk,xī
嬴,ynky,yíng
嬷,vys vysc,mó mā
子,bb bbb bbbb,zǐ zi
孔,bnn,kǒng
孕,ebf,yùn
字,pb pbf,zì
存,dhb dhbd,cún
孙,bi biy,sūn xùn
孚,ebf,fú fū
孛,fpbf,bèi bó
孝,ftb ftbf,xiào
孟,blf,mèng
季,tb tbf,jì
孤,br brc,gū
学,ip ipb ipbf,xué
孩,bynw,hái
孰,ybvy,shú
孵,qytb,fū
孽,awnb,niè
宁,ps psj,níng nìng
它,px pxb,tā tuō
宅,pta ptab,zhái
宇,pgf,yǔ
守,pf pfu,shǒu shòu
安,pv pvf,ān
宋,psu,sòng
完,pfq pfqb,wán
宏,pdc,hóng
宓,pntr,mì fú
宕,pdf,dàng
宗,pfi pfiu,zōng
官,pn pnh pnhn,guān
宙,pm pmf,zhòu
定,pg pgh pghu,dìng
宛,pq pqb pqbb,wǎn yuān
宜,peg pegf,yí
宝,pgy pgyu,bǎo
实,pu pud pudu,shí
宠,pdx pdxb,chǒng
审,pj pjh pjhj,shěn
客,pt ptk ptkf,kè
宣,pgj,xuān
室,pgc pgcf,shì
宦,pah pahh,huàn
宪,ptf ptfq,xiàn
宫,pk pkk pkkf,gōng
宰,puj,zǎi
害,pd pdh,hài hé
宴,pjv pjvf,yàn
宵,pi pie pief,xiāo
家,pe peu,jiā jia jie gū
容,pww pwwk,róng
宽,pa pam pamq,kuān
宾,pr prg prgw,bīn bìn
宿,pwdj,sù xiǔ xiù
寂,ph phi phic,jì
寄,pds pdsk,jì
寅,pgm,yín
密,pnt pntm,mì
寇,pfqc,kòu
富,pgk pgkl,fù
寒,pfj pfju,hán
寓,pjm pjmy,yù
寝,puvc,qǐn
寞,paj pajd,mò
察,pwfi,chá
寡,pde pdev,guǎ
寥,pnw pnwe,liáo
寨,pfjs,zhài
寮,pdu pdui,liáo
寸,fghy,cùn
对,cf cfy,duì
寺,ff ffu,sì
寻,vf vfu,xún xín
导,nf nfu,dǎo dào
寿,dtf dtfu,shòu
封,fffy,fēng
射,tmdf,shè yè yì
将,uqf uqfy,jiāng jiàng qiāng
尉,nfif,wèi yù
尊,usg usgf,zūn
小,ih iht ihty,xiǎo
少,it itr,shǎo shào
尔,qiu,ěr
尖,id idu,jiān
尘,iff,chén
尚,imkf,shàng cháng
尝,ipf ipfc,cháng
尢,dnv,yóu wāng
尤,dnv,yóu
尧,atgq,yáo
尬,dnw dnwj,gà
就,yi yidn,jiù
尴,dnjl,gān
尸,nngt,shī
尹,vte,yǐn
尺,nyi,chǐ chě
尼,nx nxv,ní
尽,nyu nyuu,jìn jǐn
尾,ntf,wěi yǐ
尿,nii,niào suī
局,nnk nnkd,jú
屁,nxx nxxv,pì
层,nfc nfci,céng
居,nd ndd,jū jī
屈,nbm nbmk,qū
屉,nan nanv,tì
届,nm nmd,jiè
